model_id,epoch,train_loss,val_loss,train_acc,val_acc,GE
0,1,5.554648198608398,5.546287933502197,0.003766,0.004036,3
0,2,5.547000583496094,5.546863051422119,0.003909999999999999,0.003928,241
0,3,5.546978857574463,5.546375212921142,0.003816,0.00398,6
0,4,5.546921894042969,5.546056070892334,0.0038919999999999996,0.00404,238
0,5,5.546893822296142,5.546185294189453,0.00414,0.003988,193
1,1,5.560058102783203,5.549252894012451,0.003828,0.0040939999999999995,10
1,2,5.5482888969726565,5.547816436706543,0.003948,0.003932,206
1,3,5.547185245574951,5.5462413661804195,0.003842,0.003904,50
1,4,5.546747202789307,5.546408049194336,0.003828,0.003994,40
1,5,5.546625990051269,5.546130534484863,0.003952,0.003948,67
